pathway,count
ARO.PWY..chorismate.biosynthesis.I,1
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis,2
COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic.,3
DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis,6
GLUTORN.PWY..L.ornithine.biosynthesis.I,2
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.,6
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..unclassified,3
ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,5
NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I,3
PWY.1042..glycolysis.IV,2
PWY.5103..L.isoleucine.biosynthesis.III,6
PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.,5
PWY.5686..UMP.biosynthesis.I,5
PWY.5941..glycogen.degradation.II,4
PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I,3
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II,6
PWY.6151..S.adenosyl.L.methionine.salvage.I,5
PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate,5
PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis,6
PWY.6609..adenine.and.adenosine.salvage.III,3
PWY.6700..queuosine.biosynthesis.I..de.novo.,1
PWY.7111..pyruvate.fermentation.to.isobutanol..engineered.,5
PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis,6
PWY.7237..myo...chiro..and.scyllo.inositol.degradation,6
PWY.7238..sucrose.biosynthesis.II,6
PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast.,2
PWY.7790..UMP.biosynthesis.II,5
PWY.7791..UMP.biosynthesis.III,3
PWY.8178..pentose.phosphate.pathway..non.oxidative.branch..II,1
PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.,5
PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..unclassified,2
SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I,4
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I,5
VALSYN.PWY..L.valine.biosynthesis,6
